date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:51	308/308	---MCZ	200	added ('OK')	text/plain	etag:W/%22218-L+/S7vQ03xqv89866jTrQrYPN0M%22	https://www.kaleidoscope.glass/robots.txt		(from )
23:28:51	737369/737369	---MCZ	200	added ('OK')	text/html	etag:W/%22b3e364da5d75746e3815bc6d1c079c61%22	https://www.kaleidoscope.glass/	D:/projekte/kaleidoscope/www.kaleidoscope.glass/index.html	(from )
23:28:52	4280/4280	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Dec%202024%2022:28:51%20GMT	https://static.wixstatic.com/media/d36c59_fcd116d568964885b61db4d847c49ef7~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/d36c59_fcd116d568964885b61db4d847c49ef7~mv2.png	D:/projekte/kaleidoscope/static.wixstatic.com/media/d36c59_fcd116d568964885b61db4d847c49ef7_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/d36c59_fcd116d568964885b61db4d847c49ef7_mv2.png	(from https://www.kaleidoscope.glass/)
23:28:52	1133/1133	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Dec%202024%2022:28:52%20GMT	https://static.wixstatic.com/media/d36c59_fcd116d568964885b61db4d847c49ef7~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/d36c59_fcd116d568964885b61db4d847c49ef7~mv2.png	D:/projekte/kaleidoscope/static.wixstatic.com/media/d36c59_fcd116d568964885b61db4d847c49ef7_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/d36c59_fcd116d568964885b61db4d847c49ef7_mv2.png	(from https://www.kaleidoscope.glass/)
23:28:52	4149/4149	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Dec%202024%2022:28:52%20GMT	https://static.wixstatic.com/media/d36c59_fcd116d568964885b61db4d847c49ef7~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/d36c59_fcd116d568964885b61db4d847c49ef7~mv2.png	D:/projekte/kaleidoscope/static.wixstatic.com/media/d36c59_fcd116d568964885b61db4d847c49ef7_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/d36c59_fcd116d568964885b61db4d847c49ef7_mv2.png	(from https://www.kaleidoscope.glass/)
23:28:53	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/projekte/kaleidoscope/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.kaleidoscope.glass/)
23:28:53	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/projekte/kaleidoscope/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.kaleidoscope.glass/)
23:28:53	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2029%20Dec%202024%2022:28:52%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/projekte/kaleidoscope/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.kaleidoscope.glass/)
23:28:54	17643/17643	---MCZ	200	added ('OK')	text/xml	date:Sun,%2029%20Dec%202024%2022:28:53%20GMT	https://www.kaleidoscope.glass/blog-feed.xml	D:/projekte/kaleidoscope/www.kaleidoscope.glass/blog-feed.xml	(from https://www.kaleidoscope.glass/)
23:28:54	17361/17361	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Dec%202024%2022:28:54%20GMT	https://static.wixstatic.com/media/d36c59_52f327cc02b04ccc942050077908c77f~mv2.png/v1/fill/w_96,h_72,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/d36c59_52f327cc02b04ccc942050077908c77f~mv2.png	D:/projekte/kaleidoscope/static.wixstatic.com/media/d36c59_52f327cc02b04ccc942050077908c77f_mv2.png/v1/fill/w_96,h_72,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/d36c59_52f327cc02b04ccc942050077908c77f_mv2.png	(from https://www.kaleidoscope.glass/)
23:28:55	746404/746404	---MCZ	200	added ('OK')	text/html	etag:W/%2206861392a0bb179e7a4aeb92b3e996e1%22	https://www.kaleidoscope.glass/about	D:/projekte/kaleidoscope/www.kaleidoscope.glass/about.html	(from https://www.kaleidoscope.glass/)
23:28:55	991818/991818	---MCZ	200	added ('OK')	text/html	etag:W/%2252d06eb7795114cc45361ff3e9ff6955%22	https://www.kaleidoscope.glass/blog	D:/projekte/kaleidoscope/www.kaleidoscope.glass/blog.html	(from https://www.kaleidoscope.glass/)
23:28:56	803347/803347	---MCZ	200	added ('OK')	text/html	etag:W/%22cf30da88e5e120442ee3c3c767da6764%22	https://www.kaleidoscope.glass/contact	D:/projekte/kaleidoscope/www.kaleidoscope.glass/contact.html	(from https://www.kaleidoscope.glass/)
23:28:56	25112/25112	---M-Z	200	added ('OK')	application/javascript	etag:W/%226dcd805da3c0da864bde837cc6654308%22	https://static.parastorage.com/services/wix-thunderbolt/dist/8875.d06b9c87.bundle.min.js	D:/projekte/kaleidoscope/static.parastorage.com/services/wix-thunderbolt/dist/8875.d06b9c87.bundle.min.js	(from https://www.kaleidoscope.glass/)
23:28:57	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	D:/projekte/kaleidoscope/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.kaleidoscope.glass/)
